#options: 1920x886 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=8000 vbv_bufsize=16000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:20.89 aq:10.51 tex:48855 mv:629 misc:6732 imb:6720 pmb:0 smb:0 d:- ref:;
in:36 out:33 type:P dur:2 cpbdur:2 q:3.66 aq:0.18 tex:134063 mv:2281 misc:664 imb:146 pmb:99 smb:6475 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:4.01 aq:1.28 tex:73035 mv:2224 misc:661 imb:15 pmb:202 smb:6503 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:4.01 aq:1.21 tex:70824 mv:3191 misc:665 imb:18 pmb:207 smb:6495 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:4.01 aq:0.96 tex:50826 mv:2351 misc:615 imb:15 pmb:168 smb:6537 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:2.57 aq:0.38 tex:90058 mv:2025 misc:621 imb:85 pmb:156 smb:6479 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:2.63 aq:0.66 tex:83438 mv:2185 misc:665 imb:69 pmb:155 smb:6496 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:2.64 aq:0.32 tex:80178 mv:2453 misc:673 imb:122 pmb:148 smb:6450 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:2.79 aq:0.68 tex:84099 mv:2409 misc:644 imb:98 pmb:154 smb:6468 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:2.79 aq:1.12 tex:119353 mv:2720 misc:631 imb:181 pmb:116 smb:6423 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:2.79 aq:1.43 tex:83375 mv:3735 misc:714 imb:13 pmb:226 smb:6481 d:- ref:0 ;
in:44 out:43 type:P dur:2 cpbdur:2 q:2.86 aq:1.68 tex:117729 mv:2441 misc:654 imb:204 pmb:94 smb:6422 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:2.86 aq:1.80 tex:73300 mv:3499 misc:721 imb:21 pmb:225 smb:6474 d:- ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:2.84 aq:1.05 tex:147598 mv:2519 misc:611 imb:203 pmb:87 smb:6430 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:2.86 aq:1.69 tex:74030 mv:3332 misc:630 imb:18 pmb:218 smb:6484 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:2.90 aq:0.87 tex:167798 mv:2256 misc:610 imb:217 pmb:72 smb:6431 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:2.90 aq:1.52 tex:92700 mv:2979 misc:681 imb:12 pmb:227 smb:6481 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:2.90 aq:1.79 tex:93175 mv:3309 misc:692 imb:16 pmb:227 smb:6477 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:2.90 aq:1.28 tex:66287 mv:2867 misc:582 imb:16 pmb:186 smb:6518 d:- ref:0 ;
in:53 out:51 type:P dur:2 cpbdur:2 q:3.24 aq:0.55 tex:86928 mv:2124 misc:612 imb:76 pmb:153 smb:6491 d:- ref:0 ;
in:51 out:52 type:B dur:2 cpbdur:2 q:3.24 aq:1.42 tex:60315 mv:2023 misc:670 imb:5 pmb:182 smb:6533 d:- ref:0 ;
